title,rank,date,artist,url,region,chart,trend,streams
Ritual,49,2019-07-02,"Tiësto, Jonas Blue, Rita Ora",https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa,Singapore,top200,MOVE_DOWN,15141.0
Lost on You,5,2018-09-14,LP,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,Mexico,viral50,SAME_POSITION,
星期三或禮拜三,47,2017-08-20,"Waa Wei, Di Ma",https://open.spotify.com/track/56pQAIABH8Y8L9qAXrL9sg,Taiwan,top200,SAME_POSITION,6823.0
Keski-Suomeen,135,2020-06-13,"Lord Est, Meiju Suvas",https://open.spotify.com/track/6XoFQCeBo7XS7cWzvlPPdw,Finland,top200,MOVE_DOWN,9185.0
positions,142,2021-01-25,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Guatemala,top200,MOVE_UP,5423.0
Hawái,38,2021-05-28,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,Ecuador,top200,MOVE_DOWN,16379.0
In My Blood,49,2018-06-15,Shawn Mendes,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4,Iceland,top200,MOVE_DOWN,1948.0
deja vu,64,2021-07-29,Olivia Rodrigo,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr,Vietnam,top200,MOVE_UP,8066.0
ใจเย็น,127,2018-07-30,Image Suthita,https://open.spotify.com/track/5HoTeTzdfAataCZ0piQyAv,Thailand,top200,MOVE_UP,2707.0
Rise,16,2018-09-14,"Jonas Blue, Jack & Jack",https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,Hungary,top200,MOVE_DOWN,6685.0
Con Calma,30,2019-08-04,"Daddy Yankee, Snow",https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,Israel,top200,MOVE_UP,5752.0
Spirit (feat. Mahan Moin),43,2017-01-10,Gromee,https://open.spotify.com/track/5Gst4eztAhEPgO5M0tFpOk,Czech Republic,viral50,MOVE_DOWN,
Blinding Lights,63,2021-11-06,The Weeknd,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,Norway,top200,MOVE_UP,18028.0
Never Gonna Give You Up,23,2017-02-04,Rick Astley,https://open.spotify.com/track/4uLU6hMCjMI75M1A2tKUQC,Bulgaria,viral50,MOVE_UP,
Circles,16,2020-03-15,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,Global,top200,MOVE_DOWN,2447892.0
Que Rico Baila,85,2017-12-19,"Rombai, Marama",https://open.spotify.com/track/5QTWB74jDroxV6DvMqV533,Argentina,top200,MOVE_UP,26005.0
CORALINE,63,2021-06-08,Måneskin,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY,Belgium,top200,MOVE_DOWN,14137.0
Du hast,165,2019-04-02,Rammstein,https://open.spotify.com/track/1dS1SUD3vr0McKwez9MqAY,Finland,top200,MOVE_UP,6824.0
Walk On Water,173,2017-08-25,Thirty Seconds To Mars,https://open.spotify.com/track/4U9arGcc4ATa7shChhLQP0,Spain,top200,NEW_ENTRY,20562.0
Falling,65,2020-02-17,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,Ecuador,top200,MOVE_UP,8366.0
34+35,41,2021-03-28,Ariana Grande,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,United States,top200,SAME_POSITION,376579.0
Arcade,92,2021-02-09,Duncan Laurence,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C,Canada,top200,MOVE_UP,40726.0
Ni una Sola Gatita,169,2021-09-01,Jose Nogales,https://open.spotify.com/track/0OxX6DLrPHwy2YB4OlGQae,Spain,top200,MOVE_UP,42472.0
Luz Apaga,37,2018-12-16,"Ozuna, Lunay, Rauw Alejandro, Lyanno",https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm,Nicaragua,viral50,MOVE_DOWN,
"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",176,2019-03-07,Imagine Dragons,https://open.spotify.com/track/2bzitsPcImYC6DZWvvLCQi,Hungary,top200,MOVE_UP,1964.0
positions,173,2021-07-11,Ariana Grande,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,Saudi Arabia,top200,MOVE_UP,2204.0
Happier,28,2017-03-09,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Finland,top200,MOVE_DOWN,29887.0
Higher Love,94,2020-07-03,"Kygo, Whitney Houston",https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY,Canada,top200,MOVE_DOWN,49768.0
Thunderclouds,24,2018-08-23,"Sia, Diplo, Labrinth, LSD",https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi,Denmark,viral50,MOVE_UP,
Chocolat (feat. Awa Imani),179,2017-11-18,Lartiste,https://open.spotify.com/track/4fwtP5khM1iEoa6BP1QQsX,France,top200,NEW_ENTRY,26534.0
